Image,target
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  4  0]
  [ 0  5  1]
  [ 0  5  1]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  4  0]
  [ 0  5  1]
  [ 0  5  1]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  4  0]
  [ 0  5  1]
  [ 0  5  1]]

 ...

 [[ 1  0  5]
  [ 1  0  5]
  [ 4  3  8]
  ...
  [ 7 16 13]
  [14 20 16]
  [11 13  8]]

 [[ 5  1  0]
  [ 5  1  0]
  [ 5  1  0]
  ...
  [13 14  6]
  [11 11  1]
  [22 18  7]]

 [[31 27 18]
  [31 27 18]
  [33 29 20]
  ...
  [27 23 11]
  [21 15  1]
  [35 26 11]]]",kuchipudi
"[[[18 14 11]
  [18 14 11]
  [18 14 11]
  ...
  [11 10  8]
  [10  9  7]
  [10  9  7]]

 [[17 13 10]
  [17 13 10]
  [18 14 11]
  ...
  [11 10  8]
  [10  9  7]
  [10  9  7]]

 [[18 14 11]
  [18 14 11]
  [18 14 11]
  ...
  [11 10  8]
  [10  9  7]
  [10  9  7]]

 ...

 [[15 11  8]
  [15 11  8]
  [16 12  9]
  ...
  [ 6  5  3]
  [ 6  5  3]
  [ 6  5  3]]

 [[15 11  8]
  [15 11  8]
  [15 11  8]
  ...
  [ 6  5  3]
  [ 6  5  3]
  [ 6  5  3]]

 [[14 10  7]
  [15 11  8]
  [15 11  8]
  ...
  [ 6  5  3]
  [ 6  5  3]
  [ 6  5  3]]]",kuchipudi
"[[[ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]

 [[ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]

 [[ 1  3  2]
  [ 1  2  4]
  [ 1  2  6]
  ...
  [ 1  2  4]
  [ 1  2  4]
  [ 1  2  4]]

 ...

 [[ 0  3 10]
  [ 2  5 12]
  [ 3  6 13]
  ...
  [ 6  6 14]
  [ 5  5 13]
  [ 5  5 13]]

 [[10  9 14]
  [15 14 19]
  [18 17 22]
  ...
  [ 6  6 14]
  [ 7  7 17]
  [ 7  7 17]]

 [[ 6  6  8]
  [ 7  7  9]
  [ 9  7 10]
  ...
  [15 10 14]
  [12 12 14]
  [13 13 15]]]",kathak
"[[[ 7  7  7]
  [ 7  7  7]
  [ 7  7  7]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 7  7  7]
  ...
  [ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 7  7  7]
  ...
  [ 5  5  5]
  [ 4  4  4]
  [ 4  4  4]]

 ...

 [[23 19 18]
  [23 19 18]
  [23 19 18]
  ...
  [24 20 19]
  [22 20 21]
  [21 19 20]]

 [[18 16 17]
  [18 16 17]
  [18 16 17]
  ...
  [18 16 17]
  [15 15 15]
  [14 14 14]]

 [[11 11 11]
  [13 13 13]
  [13 13 13]
  ...
  [13 13 13]
  [19 19 19]
  [18 18 18]]]",sattriya
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",kathakali
"[[[148 139 130]
  [149 140 131]
  [150 141 132]
  ...
  [137 130 120]
  [135 128 118]
  [133 126 116]]

 [[150 141 132]
  [151 142 133]
  [152 143 134]
  ...
  [137 130 120]
  [135 128 118]
  [133 126 116]]

 [[150 141 132]
  [150 141 132]
  [150 141 132]
  ...
  [140 133 123]
  [136 129 119]
  [134 127 117]]

 ...

 [[182 173 164]
  [182 173 164]
  [182 173 164]
  ...
  [174 167 157]
  [173 166 158]
  [172 165 157]]

 [[188 179 170]
  [188 179 170]
  [188 179 170]
  ...
  [180 173 163]
  [179 172 166]
  [178 171 165]]

 [[197 188 181]
  [197 188 181]
  [197 188 181]
  ...
  [188 181 173]
  [188 181 175]
  [187 180 174]]]",odissi
"[[[239 255 254]
  [242 254 254]
  [243 255 253]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[239 255 254]
  [242 254 254]
  [243 255 253]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[240 255 252]
  [243 253 252]
  [244 255 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[198 225 254]
  [197 224 253]
  [200 223 254]
  ...
  [194 223 255]
  [194 223 253]
  [193 222 252]]

 [[198 225 254]
  [199 226 255]
  [200 223 254]
  ...
  [188 221 254]
  [188 221 254]
  [190 223 255]]

 [[197 224 253]
  [196 223 252]
  [198 225 252]
  ...
  [186 220 255]
  [187 220 255]
  [190 223 254]]]",sattriya
"[[[169 169 169]
  [169 169 169]
  [169 169 169]
  ...
  [169 169 169]
  [169 169 169]
  [169 169 169]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]",kuchipudi
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 251]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 253]
  [255 255 253]
  [255 255 253]
  ...
  [255 255 253]
  [255 255 253]
  [255 255 253]]

 [[252 254 251]
  [252 254 251]
  [252 254 251]
  ...
  [252 254 251]
  [252 254 251]
  [252 254 251]]

 [[113 123 115]
  [113 123 115]
  [113 123 115]
  ...
  [113 123 115]
  [113 123 115]
  [113 123 115]]]",manipuri
"[[[  5   5   5]
  [  4   4   4]
  [  3   3   3]
  ...
  [  3   3   3]
  [  1   1   1]
  [  6   6   6]]

 [[  3   3   3]
  [  2   2   2]
  [  1   1   1]
  ...
  [  1   1   1]
  [  0   0   0]
  [  4   4   4]]

 [[  3   3   3]
  [  2   2   2]
  [  1   1   1]
  ...
  [  1   1   1]
  [  0   0   0]
  [  5   5   5]]

 ...

 [[178 132  72]
  [179 133  73]
  [179 134  75]
  ...
  [ 40  23  15]
  [ 40  23  15]
  [ 41  24  16]]

 [[172 129  76]
  [174 131  78]
  [176 133  80]
  ...
  [ 49  29  18]
  [ 43  26  16]
  [ 44  27  19]]

 [[158 115  62]
  [161 118  65]
  [162 119  66]
  ...
  [ 46  26  15]
  [ 44  27  17]
  [ 45  28  20]]]",kathak
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 63 216  74]
  [110 210  84]
  [ 66 161  33]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 33 185  41]
  [ 61 153  29]
  [128 172  61]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 72 197  67]
  [109 170  43]
  [194 203  86]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]",manipuri
"[[[128  18  21]
  [128  18  21]
  [126  16  19]
  ...
  [137  23  23]
  [133  23  22]
  [133  23  22]]

 [[128  18  21]
  [128  18  21]
  [126  16  19]
  ...
  [136  24  23]
  [133  23  22]
  [133  23  22]]

 [[129  19  22]
  [129  19  22]
  [129  19  22]
  ...
  [133  23  22]
  [136  24  23]
  [136  24  23]]

 ...

 [[161  51  64]
  [161  51  64]
  [161  51  64]
  ...
  [153  49  56]
  [154  50  57]
  [153  49  56]]

 [[161  51  64]
  [161  51  64]
  [161  51  64]
  ...
  [150  49  55]
  [151  50  56]
  [151  50  56]]

 [[161  51  64]
  [161  51  64]
  [161  51  64]
  ...
  [153  52  58]
  [154  53  59]
  [154  53  59]]]",bharatanatyam
"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",kuchipudi
"[[[ 4  4  4]
  [ 4  4  4]
  [ 5  5  5]
  ...
  [10 11 13]
  [10 11 13]
  [10 11 13]]

 [[ 4  4  4]
  [ 3  3  3]
  [ 5  5  5]
  ...
  [10 11 13]
  [ 9 10 12]
  [10 11 13]]

 [[ 4  4  4]
  [ 3  3  3]
  [ 6  6  6]
  ...
  [10 11 13]
  [10 11 13]
  [ 9 10 12]]

 ...

 [[21 11 12]
  [20 12 10]
  [19 11  9]
  ...
  [20 12 10]
  [20 12 10]
  [17 12  9]]

 [[18 13 10]
  [19 11  9]
  [20 12 10]
  ...
  [19 11  9]
  [19 11  9]
  [18 10  8]]

 [[21 13 11]
  [18 10  8]
  [18 10  8]
  ...
  [20 12 10]
  [21 13 11]
  [22 12 11]]]",kuchipudi
"[[[ 6  8 20]
  [ 6  8 20]
  [ 6  8 20]
  ...
  [22 23 27]
  [20 21 26]
  [ 5  7 19]]

 [[ 7  9 21]
  [ 7  9 21]
  [ 7  9 21]
  ...
  [22 23 27]
  [20 21 26]
  [ 5  7 19]]

 [[ 6  8 20]
  [ 6  8 20]
  [ 6  8 20]
  ...
  [32 33 37]
  [27 28 33]
  [ 3  5 17]]

 ...

 [[ 6  8 20]
  [ 6  8 20]
  [ 6  8 20]
  ...
  [ 9 11 23]
  [ 8 10 22]
  [ 7  9 21]]

 [[ 6  8 20]
  [ 6  8 20]
  [ 6  8 20]
  ...
  [ 8 10 22]
  [ 7  9 21]
  [ 6  8 20]]

 [[ 6  8 20]
  [ 6  8 20]
  [ 6  8 20]
  ...
  [ 8 10 22]
  [ 7  9 21]
  [ 6  8 20]]]",mohiniyattam
"[[[  3   6  13]
  [  4   7  14]
  [  1   8  14]
  ...
  [ 14   2  14]
  [ 18   1  17]
  [ 24   1  21]]

 [[  4   7  14]
  [  4   7  14]
  [  1   8  14]
  ...
  [ 14   2  14]
  [ 17   0  16]
  [ 24   1  21]]

 [[  4   7  14]
  [  4   7  14]
  [  1   8  14]
  ...
  [ 14   2  14]
  [ 17   0  16]
  [ 24   1  21]]

 ...

 [[ 31  22  17]
  [ 13  11  16]
  [ 22  11   9]
  ...
  [ 57  27   1]
  [  2   5  10]
  [  6   9  14]]

 [[ 35  24  18]
  [ 11   9  12]
  [ 22  10  10]
  ...
  [ 36  10   0]
  [  7  10  15]
  [  7  10  15]]

 [[ 41  27  18]
  [ 14   9  13]
  [ 23  11  13]
  ...
  [118  64  18]
  [  8   9  14]
  [  5   8  13]]]",odissi
"[[[  6   6   0]
  [  7   7   0]
  [  8   8   0]
  ...
  [155 141 106]
  [110 100  65]
  [218 212 200]]

 [[  4   3   0]
  [  6   5   0]
  [  6   5   0]
  ...
  [ 94  80  45]
  [ 92  82  47]
  [203 197 185]]

 [[  4   3   0]
  [  4   3   0]
  [  4   3   0]
  ...
  [113  99  64]
  [154 144 109]
  [158 152 140]]

 ...

 [[148 144 107]
  [192 186 162]
  [ 22  15   5]
  ...
  [101  95  73]
  [102  97  78]
  [ 81  76  57]]

 [[ 90  85  53]
  [ 75  69  45]
  [ 47  41  27]
  ...
  [164 161 142]
  [166 161 142]
  [170 165 146]]

 [[117 109  88]
  [104  96  75]
  [105  97  76]
  ...
  [ 60  56  45]
  [ 53  49  40]
  [ 43  39  30]]]",kathak
"[[[  7   3   4]
  [  7   3   4]
  [  7   3   4]
  ...
  [  7   3   4]
  [  7   3   4]
  [  7   3   4]]

 [[  7   3   4]
  [  8   4   5]
  [  7   3   4]
  ...
  [  7   3   4]
  [  7   3   4]
  [  7   3   4]]

 [[  7   3   4]
  [ 11   7   8]
  [  7   3   4]
  ...
  [  7   3   4]
  [  7   3   4]
  [  7   3   4]]

 ...

 [[118  70 154]
  [109  63 138]
  [122  71 148]
  ...
  [102  69 150]
  [104  71 152]
  [107  74 155]]

 [[ 93  53 142]
  [ 86  46 134]
  [ 87  43 132]
  ...
  [ 98  70 155]
  [ 96  68 153]
  [ 93  65 150]]

 [[ 68  37 104]
  [ 66  34 107]
  [ 73  37 111]
  ...
  [ 74  53 144]
  [ 77  56 147]
  [ 82  61 152]]]",odissi
"[[[ 19  17  18]
  [ 19  17  18]
  [ 19  17  18]
  ...
  [ 14  14  14]
  [ 14  14  14]
  [ 14  14  14]]

 [[ 19  17  18]
  [ 19  17  18]
  [ 19  17  18]
  ...
  [ 14  14  14]
  [ 14  14  14]
  [ 12  12  12]]

 [[ 19  17  18]
  [ 19  17  18]
  [ 19  17  18]
  ...
  [ 14  14  14]
  [ 14  14  14]
  [ 14  14  14]]

 ...

 [[ 75 103 115]
  [ 75 103 115]
  [ 78 106 118]
  ...
  [ 61  89  93]
  [ 53  81  85]
  [ 42  77  81]]

 [[ 84 112 124]
  [ 80 110 121]
  [ 80 110 121]
  ...
  [ 65  94  98]
  [ 60  89  93]
  [ 50  79  85]]

 [[ 74 102 114]
  [ 81 111 122]
  [ 82 112 123]
  ...
  [ 60  89  93]
  [ 54  83  87]
  [ 48  77  83]]]",odissi
"[[[144  96  96]
  [148 100 100]
  [148 100 100]
  ...
  [101  90  96]
  [ 95  89  93]
  [ 96  86  94]]

 [[154 102 104]
  [155 104 103]
  [158 107 106]
  ...
  [108  95 104]
  [109  92 100]
  [112  92 101]]

 [[156 104 106]
  [158 107 106]
  [159 108 107]
  ...
  [113  98 105]
  [115  98 106]
  [113  96 104]]

 ...

 [[ 48  24  40]
  [ 51  27  43]
  [ 53  29  45]
  ...
  [ 57  32  38]
  [ 53  28  34]
  [ 51  28  36]]

 [[ 48  24  40]
  [ 51  27  43]
  [ 53  29  45]
  ...
  [ 55  34  41]
  [ 57  36  43]
  [ 51  28  34]]

 [[ 43  20  36]
  [ 50  26  42]
  [ 47  23  39]
  ...
  [ 46  25  30]
  [ 50  29  34]
  [ 43  22  27]]]",sattriya
"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 93  61  10]
  [247 204  50]
  [252 224  88]
  ...
  [255   3  24]
  [204  47  28]
  [ 45   0   0]]

 [[246 205 113]
  [224 220  69]
  [253 225  79]
  ...
  [172   0   0]
  [176 141  83]
  [ 70  13   6]]

 [[255 222  82]
  [253 245 110]
  [242 177  33]
  ...
  [135  54  25]
  [222 117  87]
  [ 60   9   0]]]",kathakali
"[[[ 15   4   0]
  [ 22   6   7]
  [ 25   5   4]
  ...
  [  0   0   0]
  [  2   2   2]
  [  1   1   1]]

 [[ 22   1   0]
  [ 21   5   5]
  [ 25   4   1]
  ...
  [  3   4   0]
  [  4   4   2]
  [  2   0   3]]

 [[ 19   5   5]
  [ 19   5   4]
  [ 21   3   1]
  ...
  [  2   2   2]
  [  1   1   1]
  [  0   0   0]]

 ...

 [[248 154  66]
  [253 163  67]
  [254 160  72]
  ...
  [157  81  21]
  [150  83  28]
  [147  69  20]]

 [[255 163  73]
  [253 160  67]
  [255 169  72]
  ...
  [185 110  45]
  [170  94  34]
  [168  92  32]]

 [[254 165  83]
  [239 151  64]
  [255 171  84]
  ...
  [186 102  32]
  [184 106  40]
  [189 114  49]]]",kathak
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[46 33 17]
  [50 37 21]
  [54 41 25]
  ...
  [29 16  7]
  [26 14  2]
  [25 13  1]]

 [[33 20 11]
  [31 19  7]
  [30 18  4]
  ...
  [45 29 13]
  [44 30 17]
  [37 23 10]]

 [[10  5  2]
  [18 10  7]
  [16  5  0]
  ...
  [44 31 14]
  [37 24  7]
  [30 18  4]]]",kathakali
"[[[ 8  7  5]
  [ 8  7  5]
  [ 8  7  5]
  ...
  [15 10  7]
  [15 10  7]
  [12 11  7]]

 [[ 8  7  5]
  [ 8  7  5]
  [ 8  7  5]
  ...
  [15 10  7]
  [15 10  7]
  [12 11  7]]

 [[ 8  7  5]
  [ 8  7  5]
  [ 8  7  5]
  ...
  [15 10  7]
  [15 10  7]
  [12 11  7]]

 ...

 [[23 13 12]
  [24 14 13]
  [23 13 12]
  ...
  [26 15 11]
  [26 15 11]
  [26 15 11]]

 [[23 13 12]
  [24 14 13]
  [23 13 12]
  ...
  [26 15 11]
  [25 14 10]
  [25 14 10]]

 [[23 13 12]
  [24 14 13]
  [23 13 12]
  ...
  [26 15 11]
  [25 14 10]
  [25 14 10]]]",sattriya
"[[[128  18  21]
  [125  15  18]
  [130  20  23]
  ...
  [133  23  22]
  [134  24  23]
  [136  24  23]]

 [[127  17  20]
  [124  14  17]
  [128  18  21]
  ...
  [136  24  23]
  [135  23  22]
  [132  22  21]]

 [[125  15  18]
  [129  19  22]
  [126  16  19]
  ...
  [136  24  23]
  [136  24  23]
  [136  24  23]]

 ...

 [[161  51  64]
  [161  51  64]
  [161  51  64]
  ...
  [155  51  58]
  [153  49  56]
  [152  48  55]]

 [[160  50  63]
  [161  51  64]
  [161  51  64]
  ...
  [152  48  55]
  [152  48  55]
  [152  48  55]]

 [[161  51  64]
  [161  51  64]
  [161  51  64]
  ...
  [152  51  57]
  [154  53  59]
  [154  53  59]]]",bharatanatyam
